status,orbital_period,semi_major_axis,planet_radius,transit_duration,insolation_flux,equilibrium_temperature,kepler_magnitude,stellar_radius,stellar_effective_temperature,stellar_surface_gravity,stellar_mass,stellar_metallicity
1,4.90144976,0.0586,1.7,4.1654,598.74,1262.0,12.487,1.402,5847.0,4.191,1.113,0.26
1,9.75192101,0.0902,2.76,4.793,135.66,870.0,15.386,1.053,5775.0,4.405,1.026,0.16
1,38.5576546,0.2255,4.02,5.794,21.71,550.0,15.386,1.053,5775.0,4.405,1.026,0.16
1,3.525632539,0.0431,11.58,2.59959,213.12,975.0,15.224,0.793,5150.0,4.572,0.855,0.08
1,7.748094239,0.081,5.52,3.5957,204.39,964.0,15.67,1.085,5973.0,4.439,1.181,0.36
1,23.96793669,0.1322,1.8,3.827,2.77,329.0,15.414,0.524,3747.0,4.728,0.536,0.1
1,8.29561738,0.0652,1.82,1.3421,11.39,469.0,15.414,0.524,3747.0,4.728,0.536,0.1
1,8.11437482,0.0649,2.1,2.2736,10.55,460.0,15.877,0.517,3692.0,4.753,0.553,0.28
0,38.036729482,0.2252,27.5,4.34617,14.81,500.0,15.472,0.932,5575.0,4.521,1.051,0.36
0,3.747838198,0.046,13.65,5.0642,266.76,1031.0,13.496,0.826,5514.0,4.569,0.926,-0.04
1,14.74914825,0.1221,2.89,6.0995,137.91,874.0,12.487,1.402,5847.0,4.191,1.113,0.26
1,21.81295996,0.1495,3.38,4.3791,39.33,639.0,15.54,0.999,5601.0,4.41,0.934,0.08
0,7.91936937,0.0737,10.34,3.3148,104.0,814.0,15.805,0.776,5690.0,4.588,0.852,-0.4
1,15.37562369,0.1121,11.01,3.3169,30.54,600.0,16.422,0.833,4986.0,4.496,0.793,0.16
1,8.10363271,0.0712,2.11,3.161,52.82,687.0,15.289,0.732,4861.0,4.574,0.733,-0.08
1,4.71510843,0.0496,1.46,2.506,108.84,823.0,15.289,0.732,4861.0,4.574,0.733,-0.08
1,6.365839713,0.0659,2.44,2.9721,165.33,914.0,15.09,0.849,5776.0,4.554,0.939,-0.18
0,5.97581754,0.066,3.86,3.065,284.25,1047.0,15.546,0.997,6108.0,4.471,1.072,-0.08
0,2.446737317,0.0351,26.25,4.7211,597.19,1261.0,15.021,0.863,5764.0,4.548,0.959,-0.12
1,3.04033046,0.0374,8.99,1.8411,257.29,1021.0,15.028,0.791,5035.0,4.519,0.754,-0.06
1,15.33528675,0.1179,5.0,3.897,32.67,610.0,15.855,0.817,5251.0,4.581,0.926,0.21
1,7.95825328,0.0809,1.06,4.377,314.15,1074.0,12.487,1.402,5847.0,4.191,1.113,0.26
1,31.33046135,0.1898,6.5,5.176,12.61,481.0,15.855,0.817,5251.0,4.581,0.926,0.21
0,3.9043425,0.0484,12.28,3.831,351.05,1104.0,15.016,0.898,5810.0,4.526,0.989,-0.06
0,9.286358079,0.081,17.61,3.49949,95.03,796.0,15.365,0.821,5670.0,4.523,0.82,-0.4
0,3.951405455,0.0482,31.44,2.1862,388.71,1133.0,15.446,0.869,6046.0,4.539,0.953,-0.38
1,23.65369415,0.1658,7.89,8.2183,67.65,731.0,15.084,1.384,5739.0,4.191,1.083,0.3
1,13.23352214,0.1126,3.06,6.7372,146.67,888.0,15.084,1.384,5739.0,4.191,1.083,0.3
1,6.15560285,0.0676,2.32,4.9843,406.94,1146.0,15.084,1.384,5739.0,4.191,1.083,0.3
1,2.090811305,0.0329,1.62,3.388,1718.04,1642.0,15.084,1.384,5739.0,4.191,1.083,0.3
1,3.180027898,0.0439,1.53,3.5797,1066.86,1458.0,12.487,1.402,5847.0,4.191,1.113,0.26
1,50.4467417,0.2747,2.67,7.159,24.64,568.0,15.084,1.384,5739.0,4.191,1.083,0.3
1,11.76307164,0.0954,2.35,2.9076,33.99,616.0,15.208,0.756,4959.0,4.603,0.849,0.16
1,56.2279271,0.2707,2.37,3.57,4.22,366.0,15.208,0.756,4959.0,4.603,0.849,0.16
0,2.384052875,0.0308,17.06,3.0918,244.87,1010.0,15.836,0.701,4794.0,4.58,0.683,-0.22
1,7.953547,0.0712,2.25,2.6312,55.37,696.0,15.66,0.779,4768.0,4.536,0.759,0.18
1,4.14451656,0.0461,1.48,2.3421,132.08,864.0,15.66,0.779,4768.0,4.536,0.759,0.18
0,4.859386384,0.0571,38.33,2.2757,364.23,1114.0,15.311,0.988,6072.0,4.47,1.05,-0.1
1,10.526294577,0.088,8.24,2.5211,61.16,713.0,15.305,0.793,5386.0,4.553,0.82,-0.2
1,4.583520948,0.0535,5.39,2.7055,274.98,1038.0,15.287,0.877,5815.0,4.54,0.973,-0.12
1,3.76181843,0.047,2.66,3.5176,372.62,1121.0,15.257,0.949,5653.0,4.472,0.974,0.1
1,8.20396958,0.0735,3.01,2.9667,71.5,742.0,15.376,0.826,5015.0,4.499,0.785,0.1
1,14.49645186,0.1074,3.01,4.016,33.48,613.0,15.376,0.826,5015.0,4.499,0.785,0.1
1,6.54626149,0.0668,2.19,2.75,101.78,810.0,15.855,0.817,5251.0,4.581,0.926,0.21
1,12.71809866,0.0934,2.31,3.0957,23.6,562.0,15.389,0.686,4702.0,4.592,0.67,-0.22
1,36.06588163,0.1871,2.64,4.3246,5.88,397.0,15.389,0.686,4702.0,4.592,0.67,-0.22
1,4.190425659,0.0535,6.21,2.8589,547.9,1234.0,15.27,1.135,6073.0,4.392,1.163,0.2
1,3.709870784,0.0471,4.35,3.0694,415.1,1151.0,15.581,0.978,5727.0,4.463,1.013,0.14
1,16.3297527,0.1255,3.75,6.271,66.08,727.0,15.447,0.987,5878.0,4.444,0.989,-0.06
1,27.807566216,0.1711,13.84,4.21587,22.24,554.0,15.482,0.785,5862.0,4.584,0.865,-0.52
1,80.8723469,0.3577,7.59,11.195,9.88,452.0,15.201,1.238,5510.0,4.222,0.932,0.16
0,3.166465862,0.0371,26.82,2.9381,196.31,954.0,15.999,0.704,4968.0,4.575,0.68,-0.36
1,24.99324319,0.1651,2.29,5.9409,60.88,712.0,12.377,1.317,5718.0,4.181,0.961,0.0
1,10.35533116,0.0895,2.47,3.1775,86.22,777.0,15.018,0.918,5501.0,4.462,0.891,0.02
1,16.08518937,0.1173,3.68,3.984,33.43,613.0,15.219,0.826,5239.0,4.523,0.83,0.0
1,7.49018305,0.0703,2.56,2.7297,76.06,753.0,15.599,0.787,5103.0,4.562,0.823,0.04
1,36.2761238,0.2012,3.03,4.7865,9.29,445.0,15.599,0.787,5103.0,4.562,0.823,0.04
1,17.46087931,0.1236,2.32,2.2641,24.6,568.0,15.599,0.787,5103.0,4.562,0.823,0.04
1,56.0560754,0.228,1.94,4.685,0.69,233.0,15.849,0.491,3593.0,4.757,0.503,0.26
1,41.408316686,0.2162,11.38,5.0264,9.93,453.0,15.196,0.747,5522.0,4.586,0.786,-0.46
